"Country","Infections","Energy_Consumption_per_Person"
"Myanmar",9.58907602417177,0.318153625007579
"Namibia",1.95774671864626,0.738270658991775
"Nepal",2.8876653096143,0.332069300093083
"Netherlands",0.29177518181916,4.8371668932826
"New Zealand",0.34328281354594,4.07914216777156
"Nicaragua",3.32928484675288,0.540914089187318
"Nigeria",16.2253502995149,0.738125378611314
"Norway",0.46496409443937,6.25002516666625
"Oman",0.8310384721928,6.02556956620172
"Pakistan",4.97907880015687,0.487399250194058
"Panama",3.53563434697689,0.914719768488769
"Paraguay",2.98660906003149,0.697873694151848
"Peru",2.83438240515247,0.528553397356276
"Philippines",4.11306730786863,0.44369547787396
"Poland",0.59371255715491,2.56761348672429
"Portugal",0.27715921363241,2.29987941534565
"Qatar",0.73436143934842,15.3104307837772
"Romania",0.25748460944266,1.83841897937967
"Russia",0.32743200770824,4.85017759070095
"Saudi Arabia",1.92169962903578,5.88824579266753
"Senegal",12.240974514274,0.261036726264755
"Serbia",0.75971253176384,2.29464324950229
"Singapore",0.21514051364798,4.92368992023805
"Slovak Republic",0.60053502211061,3.38548847284795
"Slovenia",0.30811893390849,3.82902574362445
"South Africa",2.94406820195593,3.02759624111825
"Spain",0.48648725668004,3.05189880014179
"Sri Lanka",1.49392170865243,0.442296285304447
"Sudan",8.44624182363512,0.36427407931
"Sweden",0.19572572302014,5.3799591025113
"Switzerland",0.34451395970565,3.50133367330594
"Syria",1.91285578016221,1.17385156038036
"Tajikistan",9.88409780382192,0.369288802250525
"Tanzania",8.45502330677954,0.448657102366213
"Thailand",0.80976799276839,1.57695718909635
"Togo",6.55696095435509,0.443614905527021
"Trinidad and Tobago",0.65712985896982,14.5308255198942
"Tunisia",1.9194092620666,0.912673953663991
"Turkey",1.4153347214691,1.38884019495309
"Turkmenistan",7.21985777151274,4.4937471484606
"Ukraine",1.07904965154326,2.94314450194776
"United Arab Emirates",0.41556116740722,9.39784694511008
"United Kingdom",0.62988480375993,3.39436448025191
"United States",0.86180557702555,7.48793030309585
"Uruguay",1.60854714433235,1.24567553235522
"Uzbekistan",4.5780528184033,1.84971962479901
"Venezuela",1.11273547470866,2.51181449794165
"Vietnam",0.94259729739681,0.575456290537262
"Zambia",16.7622790653089,0.617251413049133
"Zimbabwe",5.64739896636448,0.744783277060522
