"Country","Infections","Agriculture_Land"
"Ecuador",3.43613244599219,29.9766468030279
"Egypt",1.72747055335135,3.55818976342358
"El Salvador",2.51737228155964,74.9517374517375
"Equatorial Guinea",5.46600702202362,11.0516934046346
"Eritrea",8.72865900551515,74.970297029703
"Estonia",0.37655328228944,21.3965557914602
"Ethiopia",9.68352036313201,34.513
"Fiji",2.14968603269786,23.4263820470717
"Finland",0.16946280291476,7.55511681474169
"France",0.45494573907399,53.5350399883139
"Gabon",2.12416234669364,19.9479954981178
"Gambia",11.0809218279429,65.5
"Georgia",2.54916241806264,36.3073823571737
"Germany",0.44601157527684,48.5385652410865
"Ghana",4.44141887470837,68.1198910081744
"Greece",0.084356547005343,63.8401861908456
"Grenada",0.49701789264414,35.2941176470588
"Guatemala",3.89031992966054,39.3617021276596
"Guinea",9.3403132817062,57.9521406478919
"Guinea-Bissau",19.4204638136128,57.9658605974396
"Guyana",6.82719130817795,8.50901701803404
"Haiti",3.92409511538011,64.2235123367199
"Honduras",3.24000337396982,28.4565197962284
"Hungary",0.61867380677093,64.6133244057583
"Iceland",0.43261951113995,22.7531172069825
"India",3.12267281173798,60.4428240374816
"Indonesia",5.35865192887297,28.7043834905634
"Iran",2.91784910778242,29.6546007184305
"Iraq",1.99669512530983,21.6064201934289
"Ireland",0.26048827079203,60.9667586006677
"Israel",0.39316043805221,23.7985212569316
"Italy",0.4084997252244,49.1160671788944
"Jamaica",5.22900763358779,41.4589104339797
"Japan",0.29403514880693,12.6968449931413
"Jordan",1.54862885802961,11.0154125113327
"Kazakhstan",3.03352987188841,76.9715153535578
"Kenya",17.0888706248813,47.7914045753242
"Korea, Dem. Rep.",5.50155877498625,24.4996262768873
"Korea, Rep.",0.72398791139451,18.6024940739977
"Kuwait",1.22024443626644,8.47362514029181
"Kyrgyzstan",4.9891486017911,55.9280500521376
"Laos",10.465129974912,9.86568457538995
"Latvia",0.77824376324095,29.34555394758
"Lebanon",0.97062347392208,67.1554252199414
"Lesotho",5.84696783325189,77.7997364953887
"Liberia",13.1192629009523,27.0971760797342
"Libya",1.51265313909595,8.83753708355593
"Lithuania",0.35014005602241,42.6360299984043
"Luxembourg",0.55025678650037,50.5791505791506
"Macedonia, FYR",1.39369689340467,42.1323820848197
"Madagascar",13.6969358326276,70.2359253017849
"Malawi",9.03867034160194,58.0398812049215
"Malaysia",0.5121378486215,23.9537361132248
"Maldives",2.79475982532751,26.6666666666667
"Mali",18.1192956577856,33.1923716798204
"Malta",1.08695652173913,28.125
"Mauritania",10.8556714399511,38.4796740079558
"Mauritius",1.65819146584126,48.2758620689655
"Mexico",1.76068025616995,52.9344890557885
"Micronesia, Fed. Sts.",4.30416068866571,31.4285714285714
"Moldova",0.35610157797512,75.4332623897841
"Mongolia",7.59498771102784,74.5545714359278
"Montenegro",0.65936964262165,38.1412639405204
"Morocco",2.80763739247058,67.1767869146314
"Mozambique",10.7724024784968,62.3744245784481
"Myanmar",9.58907602417177,18.7859591137226
"Namibia",1.95774671864626,47.1377036038334
"Nepal",2.8876653096143,29.3686780606906
"Netherlands",0.29177518181916,57.1386255924171
"New Zealand",0.34328281354594,43.1962325775702
"Nicaragua",3.32928484675288,42.7621738407844
"Niger",18.1950877690052,34.5638272677035
"Nigeria",16.2253502995149,85.0928335364582
"Norway",0.46496409443937,3.35221134644973
"Oman",0.8310384721928,5.7092084006462
"Pakistan",4.97907880015687,34.0909090909091
"Panama",3.53563434697689,29.9973096583266
"Papua New Guinea",7.79105285543054,2.62774367354149
"Paraguay",2.98660906003149,52.4465139692927
"Peru",2.83438240515247,16.7421875
"Philippines",4.11306730786863,39.5747392427139
"Poland",0.59371255715491,53.099730458221
"Portugal",0.27715921363241,40.8002623811086
"Qatar",0.73436143934842,5.52200172562554
"Romania",0.25748460944266,58.9212701174424
"Russia",0.32743200770824,13.1584362579663
"Rwanda",12.8508934087994,81.0701256586948
"Saint Lucia",2.63591433278418,18.0327868852459
"Saint Vincent and the Grenadines",1.56494522691706,25.6410256410256
"Samoa",3.08641975308642,23.321554770318
"Sao Tome and Principe",10.2992615623785,57.2916666666667
"Saudi Arabia",1.92169962903578,80.7232670757179
"Senegal",12.240974514274,48.3249363735522
"Serbia",0.75971253176384,57.8092842442259
"Sierra Leone",22.5564920487693,47.6682490924323
"Singapore",0.21514051364798,0
"Slovak Republic",0.60053502211061,40.2702702702703
"Slovenia",0.30811893390849,24.428997020854
"Solomon Islands",4.04884318766067,3.03679885673455
"Somalia",17.5467884849359,70.1804444161061
"South Africa",2.94406820195593,81.8282872364076
"Spain",0.48648725668004,56.4194065757819
"Sri Lanka",1.49392170865243,42.1782809759209
"Sudan",8.44624182363512,56.8371212121212
"Suriname",3.17167996726008,0.455128205128205
"Swaziland",4.79452054794521,71.1627906976744
"Sweden",0.19572572302014,7.53765170346542
"Switzerland",0.34451395970565,38.125
"Syria",1.91285578016221,75.6806795905032
"Tajikistan",9.88409780382192,33.7739354101172
"Tanzania",8.45502330677954,39.4558591104087
"Thailand",0.80976799276839,38.6247528822251
"Togo",6.55696095435509,62.6034197462769
"Tonga",2.44669695910521,41.6666666666667
"Trinidad and Tobago",0.65712985896982,10.5263157894737
"Tunisia",1.9194092620666,63.6006694129763
"Turkey",1.4153347214691,50.8322180788171
"Turkmenistan",7.21985777151274,69.399697827336
"Uganda",10.8444610622168,68.8754316600771
"Ukraine",1.07904965154326,71.2766691983705
"United Arab Emirates",0.41556116740722,6.80622009569378
"United Kingdom",0.62988480375993,73.0955234985326
"United States",0.86180557702555,44.2049233554379
"Uruguay",1.60854714433235,85.0759913152783
"Uzbekistan",4.5780528184033,62.5763986835919
"Vanuatu",3.25502405887348,15.3404429860541
"Venezuela",1.11273547470866,24.2049770421178
"Vietnam",0.94259729739681,33.0248008514206
"Yemen, Rep.",3.70636158246861,44.5423035399739
"Zambia",16.7622790653089,31.0563768681311
"Zimbabwe",5.64739896636448,42.5229417086726
