"Country","Infections","Energy_Production_per_Person"
"Slovak Republic",0.60053502211061,0.001179875632753
"Slovenia",0.30811893390849,0.00181952677968
"South Africa",2.94406820195593,0.003284120660682
"Spain",0.48648725668004,0.000674164002695
"Sri Lanka",1.49392170865243,0.0002477254954
"Sudan",8.44624182363512,0.000823217208601
"Sweden",0.19572572302014,0.00359787664049
"Switzerland",0.34451395970565,0.001690749252232
"Syria",1.91285578016221,0.00120615809917
"Tajikistan",9.88409780382192,0.000222377296524
"Tanzania",8.45502330677954,0.000413324728805
"Thailand",0.80976799276839,0.000943237123957
"Togo",6.55696095435509,0.00037013074802
"Trinidad and Tobago",0.65712985896982,0.032103501021757
"Tunisia",1.9194092620666,0.000736968038
"Turkey",1.4153347214691,0.000408588874274
"Turkmenistan",7.21985777151274,0.013909086417604
"Ukraine",1.07904965154326,0.001767466086839
"United Arab Emirates",0.41556116740722,0.030131013757401
"United Kingdom",0.62988480375993,0.002722567883522
"United States",0.86180557702555,0.005579862997973
"Uruguay",1.60854714433235,0.000413863316644
"Uzbekistan",4.5780528184033,0.002313162208795
"Venezuela",1.11273547470866,0.007412662147017
"Vietnam",0.94259729739681,0.000830691957149
"Yemen, Rep.",3.70636158246861,0.000674913790608
"Zambia",16.7622790653089,0.00056819834095
"Zimbabwe",5.64739896636448,0.000685276997397
